Number,,Date,,Company Name,,Position,,Status,,JOB Link
19,,25.01.2026,,wester austrlia uni,,Software Engineer,,Applied,,https://www.seek.com.au/job/89766638
,,,,,,,,,,
20,,30.01.2026,,WA Health,,Data Engineer,,Assessment ,,https://search.jobs.wa.gov.au/page.php?pageID=160&windowUID=0&AdvertID=400239
,,,,,,,,,,
21,,14.02.2026,,WA Primary Health Alliance,,Data Engineer,,Rejected,,https://fa-evjf-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1551?utm_medium=jobboard&utm_source=seek_oz
,,,,,,,,,,
22,,14.02.2026,,Price Trandos Engineering,,Software Engineer,,Applied,,https://www.seek.com.au/job/89894884/apply?sol=d879c3763a66a4a52bac4f33bee285ad3b3620ac
,,,,,,,,,,
23,,14.02.2026,,DXC Technology,,Senior Fullstack Engineer,,Applied,,https://www.seek.com.au/jobs/in-All-Perth-WA?source=FE_HOME&jobId=89937337&type=standard
,,,,,,,,,,
24,,18.02.2026,,Go Perosol,,AI Engineer,,Applied,,https://go.programmed.com.au/job/details/73800/?listKey=searchJobs
,,,,,,,,,,
25,,18.02.2026,,BCG,,AI Engineer,,Applied,,https://careers.bcg.com/global/en/job/BCG1US56602EXTERNALENGLOBAL/AI-Engineer-Consulting-Graduate-BCG-X?Source+=LinkedIn+Job+Board&source=Hatch
,,,,,,,,,,
26,,18.02.2026,,ACS ,,AI Engineer Internship,,Process,,https://au.gradconnection.com/employers/acs-foundation/jobs/acs-foundation-graduate-semantic-ai-engineer-internship/?utm_source=joraau&utm_campaign=joraau&utm_medium=organic
,,,,,,,,,,
27,,18.02.2026,,DRD,,AI Engineer,,Applied,,https://au.talent.com/view?id=596981412487177598&source=jora&utm_medium=xml&utm_product=jora&clickid=2e7f1809997&SubID=faa6ea91
,,,,,,,,,,
28,,19.02.2026,,Paxus,,Data Engineer,,Applied,,https://www.seek.com.au/job/90320463?ref=recom-homepage&pos=1&sp=0#sol=06e5182a4e009f531090c2d0a3264f5803a363de
,,,,,,,,,,
29,,19.02.2026,,Edge Stake,,Python Data Engineer,,Applied,,https://www.seek.com.au/job/90308116?ref=recom-homepage&pos=2&sp=3#sol=a807fd08b54929d2cf98b95dcacd2f59d17abe83
,,,,,,,,,,
30,,19.02.2026,,Genu,,Data Integration,,Applied,,https://careers.genu.org.au/job/Melbourne-ICT-Data-Integration-Engineer-VIC/1356875266/
,,,,,,,,,,
31,,19.02.2026,,Curtin Uni,,Data Engineer,,Applied,,https://www.seek.com.au/data-engineer-jobs/in-All-Perth-WA?source=FE_HOME&jobId=90259751&type=standard
,,,,,,,,,,
32,,19.02.2026,,Silver CHain,,Dara Engineer,,Applied,,https://www.seek.com.au/data-engineer-jobs/in-All-Perth-WA?source=FE_HOME&jobId=90295536&type=standard
,,,,,,,,,,
33,,19.02.2026,,BNK,,Dara Engineer,,Applied,,https://www.seek.com.au/data-engineer-jobs/in-All-Perth-WA?source=FE_HOME&jobId=89844259&type=standard
,,,,,,,,,,
34,,23.02.2026,,Morgan McKinley,,AI Engineer,,Status,,https://viewjobs.com.au/listing/c961b175-389a-4251-8bcb-8b7af4244596
,,,,,,,,,,
35,,23.02.2026,,EY,,Data Engineer,,Applied,,https://viewjobs.com.au/listing/cfbc1145-81d0-42c2-b09d-30a76481962b
,,,,,,,,,,
36,,23.02.2026,,Department of the Premier and Cabinet WA,,Assistant Data Engineer,,Applied,,https://search.jobs.wa.gov.au/page.php?pageID=466&windowUID=0&AdvertID=401167
,,,,,,,,,,
37,,23.02.2026,,PLS,,Maser Data Specialist,,Applied,,https://careers.pls.com/jobs/master-data-specialist-perth-wa-wa-australia-d8e6b31c-0458-4c41-a5fe-5b70e2622312
,,,,,,,,,,
38,,23.02.2026,,ECU,,Data Modeller,,Applied,,https://viewjobs.com.au/listing/3af5467b-71d6-4a33-8d8a-c20b6d8a11d2
,,,,,,,,,,
39,,23.02.2026,,Life Ready,,Full Stack Developer,,Applied,,https://www.seek.com.au/job/90455155?ref=recom-homepage&pos=15&sp=0#sol=3d8358da277bf37ab9b5ee3ec6ff82d0bf2100b7
,,,,,,,,,,
40,,11.03.2026,,CareerUS,,AI Engineer,,Applied,,https://www.linkedin.com/jobs/view/4380203208/?trk=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body_4380203208&refId=H2xXw2lRT5ezopFf2pj19Q%3D%3D&trackingId=0fH95uj8Q5azO6McL85yLA%3D%3D
,,,,,,,,,,
41,,11.03.2026,,Jobgether,,ML Engineer,,Applied,,https://www.linkedin.com/jobs/view/4380203208/?trk=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body_4380203208&refId=H2xXw2lRT5ezopFf2pj19Q%3D%3D&trackingId=0fH95uj8Q5azO6McL85yLA%3D%3D
,,,,,,,,,,
42,,11.03.2026,,Twine,,AI Engineer,,Applied,,https://www.linkedin.com/jobs/collections/similar-jobs/?currentJobId=4379832771&originToLandingJobPostings=4381750668%2C4383417364%2C4383494232&referenceJobId=4380203208
,,,,,,,,,,
43,,17.03.2026,,Horizon Digital,,AI Engineer,,Applied,,https://www.seek.com.au/job/90755582?ref=applied
,,,,,,,,,,
44,,17.03.2026,,CodeMatix,,AI Engineer,,Applied,,https://codematix.com.au/find-a-job/?ja-job=1082442
,,,,,,,,,,
45,,17.03.2026,,Gun Tiling,,AI & Automation Lead,,Applied,,https://www.seek.com.au/job/90595816?type=standard&ref=search-standalone#sol=30b75859d39c90e6e9ea3e3eb4fe97b5ae2b4002
,,,,,,,,,,
46,,17.03.2026,,Lottery West,,System Data Integration,,Applied,,https://www.seek.com.au/job/90710615
,,,,,,,,,,
47,,17.03.2026,,Perth Radiological Clinic,,Data Lead,,Applied,,https://www.seek.com.au/job/90883432?token=1~be861dcd-02a2-47e0-b417-0fc6e78e9d35&ref=post-apply-recs
